272,https://en.wikipedia.org/wiki/Artificial_neural_network,Neural network (machine learning),4593
281,https://en.wikipedia.org/wiki/Biology,Biology,4424
290,https://en.wikipedia.org/wiki/Computer_scientist,Computer scientist,449
295,https://en.wikipedia.org/wiki/Electronic_publishing,Electronic publishing,1343
298,https://en.wikipedia.org/wiki/Supervised_learning,Supervised learning,1157
304,https://en.wikipedia.org/wiki/Cryptographic_hash_function,Cryptographic hash function,2590
309,https://en.wikipedia.org/wiki/Rendering_(computer_graphics),Rendering (computer graphics),2176
315,https://en.wikipedia.org/wiki/Information_science,Information science,2300
319,https://en.wikipedia.org/wiki/Category:Articles_with_short_description,Category:Articles with short description,28
278,https://en.wikipedia.org/wiki/Evolutionary_computation,Evolutionary computation,965
280,https://en.wikipedia.org/wiki/Peter_Wegner,Peter Wegner,145
283,https://en.wikipedia.org/wiki/Functional_programming,Functional programming,2663
287,https://en.wikipedia.org/wiki/List_of_unsolved_problems_in_computer_science,List of unsolved problems in computer science,19
291,https://en.wikipedia.org/wiki/Artificial_intelligence,Artificial intelligence,6229
303,https://en.wikipedia.org/wiki/Database,Database,3983
311,https://en.wikipedia.org/wiki/Category:Articles_with_HDS_identifiers,Category:Articles with HDS identifiers,13
317,https://en.wikipedia.org/wiki/Virtual_reality,Virtual reality,4117
323,https://en.wikipedia.org/wiki/E-commerce,E-commerce,2601
328,https://en.wikipedia.org/wiki/P_versus_NP_problem,P versus NP problem,2885
332,https://en.wikipedia.org/wiki/Computational_statistics,Computational statistics,496
335,https://en.wikipedia.org/wiki/History_of_compiler_construction,History of compiler construction,2511
343,https://en.wikipedia.org/wiki/Object-oriented_programming,Object-oriented programming,2873
351,https://en.wikipedia.org/wiki/Glossary_of_probability_and_statistics,Glossary of probability and statistics,50
356,https://en.wikipedia.org/wiki/Software_system,Software system,219
358,https://en.wikipedia.org/wiki/Glossary_of_engineering:_M%E2%80%93Z,Glossary of engineering: M–Z,16
369,https://en.wikipedia.org/wiki/Operating_system,Operating system,5651
377,https://en.wikipedia.org/wiki/Logic_in_computer_science,Logic in computer science,545
382,https://en.wikipedia.org/wiki/Punched_cards,Punched card,2183
388,https://en.wikipedia.org/wiki/Glossary_of_aerospace_engineering,Glossary of aerospace engineering,29
395,https://en.wikipedia.org/wiki/Unified_Process,Unified Process,692
399,https://en.wikipedia.org/wiki/Hardware_security,Hardware security,187
402,https://en.wikipedia.org/wiki/Social_intelligence,Social intelligence,871
408,https://en.wikipedia.org/wiki/Models_of_computation,Model of computation,134
412,https://en.wikipedia.org/wiki/Software_archaeology,Software archaeology,261
318,https://en.wikipedia.org/wiki/Academic_discipline,Academic discipline,908
324,https://en.wikipedia.org/wiki/Speech_recognition,Speech recognition,4281
330,https://en.wikipedia.org/wiki/Software_architecture,Software architecture,1567
333,https://en.wikipedia.org/wiki/Code,Code,960
336,https://en.wikipedia.org/wiki/Wikipedia:The_Wikipedia_Library,Wikipedia:The Wikipedia Library,127
339,https://en.wikipedia.org/wiki/Allen_Newell,Allen Newell,447
346,https://en.wikipedia.org/wiki/Robotics,Robotics,4783
355,https://en.wikipedia.org/wiki/Mixed_reality,Mixed reality,1684
360,https://en.wikipedia.org/wiki/History_of_computer_hardware_in_Bulgaria,History of computer hardware in Bulgaria,120
363,https://en.wikipedia.org/wiki/Software_incompatibility,Software incompatibility,433
368,https://en.wikipedia.org/wiki/Wikipedia:Reliable_sources,Wikipedia:Reliable sources,2641
375,https://en.wikipedia.org/wiki/Stepped_Reckoner,Stepped reckoner,526
381,https://en.wikipedia.org/wiki/A_level,A-level,1499
387,https://en.wikipedia.org/wiki/Systems_modeling_language,Systems modeling language,554
391,https://en.wikipedia.org/wiki/Life-critical_system,Safety-critical system,327
397,https://en.wikipedia.org/wiki/O_level,GCE Ordinary Level,700
401,https://en.wikipedia.org/wiki/Interpreter_(computing),Interpreter (computing),2138
406,https://en.wikipedia.org/wiki/Glossary_of_biology,Glossary of biology,166
414,https://en.wikipedia.org/wiki/Type_theory,Type theory,3047
421,https://en.wikipedia.org/wiki/Glossary_of_civil_engineering,Glossary of civil engineering,77
426,https://en.wikipedia.org/wiki/Microarchitecture,Microarchitecture,1844
431,https://en.wikipedia.org/wiki/Randomized_algorithms,Randomized algorithm,1388
436,https://en.wikipedia.org/wiki/Object_model,Object model,21
438,https://en.wikipedia.org/wiki/Difference_Engine,Difference engine,1334
444,https://en.wikipedia.org/wiki/Functional_specification,Functional specification,305
310,https://en.wikipedia.org/wiki/Category:History_of_computing,Category:History of computing,13
316,https://en.wikipedia.org/wiki/Software_quality_assurance,Software quality assurance,180
321,https://en.wikipedia.org/wiki/Glossary_of_computer_hardware_terms,Glossary of computer hardware terms,65
325,https://en.wikipedia.org/wiki/Mathematics,Mathematics,4611
334,https://en.wikipedia.org/wiki/Glossary_of_geology,Glossary of geology,107
342,https://en.wikipedia.org/wiki/History_of_computing_in_South_America,History of computing in South America,343
348,https://en.wikipedia.org/wiki/Charles_Xavier_Thomas,Charles Xavier Thomas,267
352,https://en.wikipedia.org/wiki/Millennium_Prize_Problems,Millennium Prize Problems,916
357,https://en.wikipedia.org/wiki/System_on_a_chip,System on a chip,2496
362,https://en.wikipedia.org/wiki/Virtual_machine,virtual machine,1139
370,https://en.wikipedia.org/wiki/Combinatorial_optimization,Combinatorial optimization,483
374,https://en.wikipedia.org/wiki/Timeline_of_computing_1980%E2%80%931989,Timeline of computing 1980–1989,405
